id	sign_string	transliteration_ipa	confidence	quantity	commodity_type	has_plural_affix	has_ergative_affix	sign_count
H001	2 235 740	ko.ka.min	high	9	fish	False	False	3
H002	17 342 2	re.kon.ko	high	18	vessels	False	False	3
H003	235 740 2	ka.min.ko	high	12	fish	False	False	3
H004	2 17 740	ko.re.min	high	5	fish	False	False	3
H005	740 235 17	min.ka.re	high	13	fish	False	False	3
H006	342 2 235	kon.ko.ka	high	8	vessels	False	False	3
H007	2 740 235 17	ko.min.ka.re	high	2	fish	False	False	4
H008	235 17 740 2	ka.re.min.ko	high	10	fish	False	False	4
H009	17 235 2 740	re.ka.ko.min	high	16	fish	False	False	4
H010	740 2 235	min.ko.ka	high	4	fish	False	False	3
H011	10 25 740	gaj.hati.min	high	6	fish	False	False	3
H012	8 50 60	sal.cid.boa	high	11	grain	False	False	3
H013	70 80 90	hor.cak.kal	high	7	grain	False	False	3
H014	100 101 102	kon.bel.tur	high	10	cattle	False	False	3
H015	1 3 5	o.bar.mon	high	13	grain	False	False	3
H016	15 16 17	uni.ker.re	high	9	grain	False	False	3
H017	20 21 22	nal.sok.dur	high	14	grain	False	False	3
H018	30 31 32	kar.mul.ten	high	48	grain	False	True	3
H019	40 41 42	mas.jin.dek	high	11	grain	False	False	3
H020	50 51 52	cid.bor.lak	high	8	grain	False	False	3
H021	60 61 62	boa.lek.mul	high	17	grain	False	False	3
H022	70 71 72	hor.bek.sol	high	18	grain	False	False	3
H023	80 81 82	cak.bel.tor	high	17	grain	False	False	3
H024	90 91 92	kal.ber.sol	high	16	grain	False	False	3
H025	100 110 120	kon.sol.som	high	7	cattle	False	False	3
H026	2 10 740	ko.gaj.min	high	16	fish	False	False	3
H027	8 25 342	sal.hati.kon	high	17	vessels	False	False	3
H028	17 70 235	re.hor.ka	high	3	grain	False	False	3
H029	50 80 90	cid.cak.kal	high	2	grain	False	False	3
H030	1 15 740	o.uni.min	high	14	fish	False	False	3
H031	235 342 740 2	ka.kon.min.ko	high	8	fish	False	False	4
H032	10 25 8 740	gaj.hati.sal.min	high	17	fish	False	False	4
H033	17 70 50 235	re.hor.cid.ka	high	9	grain	False	False	4
H034	80 90 100 2	cak.kal.kon.ko	high	2	cattle	False	False	4
H035	1 3 5 740	o.bar.mon.min	high	9	fish	False	False	4
H036	15 30 45 60	uni.kar.tek.boa	high	41	grain	False	True	4
H037	20 35 50 235	nal.kul.cid.ka	high	6	grain	True	False	4
H038	40 55 70 342	mas.hel.hor.kon	high	3	vessels	False	False	4
H039	80 95 110 740	cak.gom.sol.min	high	9	fish	False	False	4
H040	2 17 32 740	ko.re.ten.min	high	38	fish	False	True	4
H041	8 23 38 235	sal.lam.ger.ka	high	14	grain	False	False	4
H042	10 25 40 342	gaj.hati.mas.kon	high	10	vessels	False	False	4
H043	50 65 80 740	cid.nel.cak.min	high	7	fish	False	False	4
H044	70 85 100 2	hor.ser.kon.ko	high	1	cattle	False	False	4
H045	1 16 31 235	o.ker.mul.ka	high	1	grain	False	False	4
H046	15 30 45 342	uni.kar.tek.kon	high	40	vessels	False	True	4
H047	20 35 50 740	nal.kul.cid.min	high	32	fish	True	False	4
H048	40 55 70 2	mas.hel.hor.ko	high	13	grain	False	False	4
H049	60 75 90 235	boa.nek.kal.ka	high	18	grain	False	False	4
H050	80 95 110 342	cak.gom.sol.kon	high	2	vessels	False	False	4
H051	2 17 740 235	ko.re.min.ka	high	10	fish	False	False	4
H052	8 23 342 740	sal.lam.kon.min	high	12	fish	False	False	4
H053	10 25 2 235	gaj.hati.ko.ka	high	16	cattle	False	False	4
H054	50 65 740 342	cid.nel.min.kon	high	18	fish	False	False	4
H055	70 85 2 740	hor.ser.ko.min	high	14	fish	False	False	4
H056	1 16 235 342	o.ker.ka.kon	high	9	vessels	False	False	4
H057	15 30 740 2	uni.kar.min.ko	high	19	fish	False	False	4
H058	20 35 342 235	nal.kul.kon.ka	high	38	vessels	True	False	4
H059	40 55 2 740	mas.hel.ko.min	high	16	fish	False	False	4
H060	60 75 235 342	boa.nek.ka.kon	high	6	vessels	False	False	4
H061	80 95 740 2	cak.gom.min.ko	high	12	fish	False	False	4
H062	100 1 235 740	kon.o.ka.min	high	14	fish	False	False	4
H063	2 8 342 235	ko.sal.kon.ka	high	11	vessels	False	False	4
