transliteration	proto_munda_root	meaning	match_type	confidence
min	*miɳ	fish	exact	0.96
ko	*koŋ	vessel	exact	0.93
ka	*kad	work/make	exact	0.87
re	*rek	line/mark	exact	0.89
kon	*koŋ	vessel/container	exact	0.93
gaj	*gaːj	cattle	exact	0.91
sal	*saːl	tree	exact	0.92
hati	*hati	elephant	exact	0.88
cid	*ciɖ	bird	exact	0.85
boa	*boːa	snake	exact	0.89
hor	*hoːr	person	exact	0.84
cak	*cakk	wheel	exact	0.86
kal	*kaɭ	stone	exact	0.82
o	*oː	one	exact	0.78
bar	*bar	two	exact	0.81
ko.min	*koŋ.miɳ	fish_vessel	compound	0.88
min.ka	*miɳ.kad	fish_work	compound	0.85
gaj.hati	*gaːj.hati	cattle_elephant	compound	0.83
ko.ka.min	*koŋ.kad.miɳ	vessel_work_fish	compound	0.79
sal.hor.ka	*saːl.hoːr.kad	tree_person_work	compound	0.77
hati.min.ko	*hati.miɳ.koŋ	elephant_fish_vessel	compound	0.75
cid.boa.hor	*ciɖ.boːa.hoːr	bird_snake_person	compound	0.73 
