sequence_id	token_id	morpheme	tag	sequence
seq_0	0	na	NOUN	na cha jha
seq_0	1	cha	ADJ	na cha jha
seq_0	2	jha	NOUN	na cha jha
seq_1	0	na	NOUN	na pa na
seq_1	1	pa	NOUN	na pa na
seq_1	2	na	NOUN	na pa na
seq_2	0	cha	ADJ	cha jha na
seq_2	1	jha	NOUN	cha jha na
seq_2	2	na	NOUN	cha jha na
seq_3	0	na	NOUN	na na jha
seq_3	1	na	NOUN	na na jha
seq_3	2	jha	NOUN	na na jha
seq_4	0	jha	NOUN	jha cha na
seq_4	1	cha	ADJ	jha cha na
seq_4	2	na	NOUN	jha cha na
seq_5	0	pa	NOUN	pa na cha
seq_5	1	na	NOUN	pa na cha
seq_5	2	cha	ADJ	pa na cha
seq_4	0	na	NOUN	na jha cha na
seq_4	1	jha	NOUN	na jha cha na
seq_5	2	cha	ADJ	na jha cha na
seq_5	3	na	NOUN	na jha cha na
seq_5	0	cha	ADJ	cha na jha na
seq_5	1	na	NOUN	cha na jha na
seq_6	2	jha	NOUN	cha na jha na
seq_6	3	na	NOUN	cha na jha na
seq_6	0	na	NOUN	na cha na jha
seq_6	1	cha	ADJ	na cha na jha
seq_7	2	na	NOUN	na cha na jha
seq_7	3	jha	NOUN	na cha na jha
seq_10	0	jha	NOUN	jha na cha
seq_10	1	na	NOUN	jha na cha
seq_10	2	cha	ADJ	jha na cha
seq_11	0	gh	NOUN	gh nan jha
seq_11	1	nan	NUM	gh nan jha
seq_11	2	jha	NOUN	gh nan jha
seq_12	0	dh	VERB	dh pa nan
seq_12	1	pa	NOUN	dh pa nan
seq_12	2	nan	NUM	dh pa nan
seq_13	0	nan	NUM	nan nan nan
seq_13	1	nan	NUM	nan nan nan
seq_13	2	nan	NUM	nan nan nan
seq_14	0	nan	NUM	nan la pa
seq_14	1	la	ADJ	nan la pa
seq_14	2	pa	NOUN	nan la pa
seq_15	0	ga	ADJ	ga ku ku
seq_15	1	ku	NOUN	ga ku ku
seq_15	2	ku	NOUN	ga ku ku
seq_16	0	ja	VERB	ja ra na
seq_16	1	ra	NOUN	ja ra na
seq_16	2	na	NOUN	ja ra na
seq_17	0	mu	NOUN	mu sh pr
seq_17	1	sh	VERB	mu sh pr
seq_17	2	pr	ADP	mu sh pr
seq_18	0	dh	VERB	dh ch ja
seq_18	1	ch	NOUN	dh ch ja
seq_18	2	ja	VERB	dh ch ja
seq_19	0	da	VERB	da pa ch
seq_19	1	pa	NOUN	da pa ch
seq_19	2	ch	NOUN	da pa ch
seq_20	0	pa	NOUN	pa si ba
seq_20	1	si	VERB	pa si ba
seq_20	2	ba	ADJ	pa si ba
seq_21	0	nan	NUM	nan la pa
seq_21	1	la	ADJ	nan la pa
seq_21	2	pa	NOUN	nan la pa
seq_22	0	nan	NUM	nan sa ka
seq_22	1	sa	NOUN	nan sa ka
seq_22	2	ka	NOUN	nan sa ka
seq_23	0	nan	NUM	nan ta na
seq_23	1	ta	NOUN	nan ta na
seq_23	2	na	NOUN	nan ta na
seq_24	0	nan	NUM	nan ma ra
seq_24	1	ma	NOUN	nan ma ra
seq_24	2	ra	NOUN	nan ma ra
seq_25	0	nan	NUM	nan pa ka
seq_25	1	pa	NOUN	nan pa ka
seq_25	2	ka	NOUN	nan pa ka
seq_26	0	na	NOUN	na gh jha
seq_26	1	gh	NOUN	na gh jha
seq_26	2	jha	NOUN	na gh jha
seq_27	0	dh	VERB	dh nan pa
seq_27	1	nan	NUM	dh nan pa
seq_27	2	pa	NOUN	dh nan pa
seq_28	0	na	NOUN	na nan cha
seq_28	1	nan	NUM	na nan cha
seq_28	2	cha	ADJ	na nan cha
seq_29	0	pa	NOUN	pa nan nan
seq_29	1	nan	NUM	pa nan nan
seq_29	2	nan	NUM	pa nan nan
seq_30	0	ga	ADJ	ga ja jha
seq_30	1	ja	VERB	ga ja jha
seq_30	2	jha	NOUN	ga ja jha
seq_23	0	cha	ADJ	cha pa jha na
seq_23	1	pa	NOUN	cha pa jha na
seq_23	2	jha	NOUN	cha pa jha na
seq_24	3	na	NOUN	cha pa jha na
seq_24	0	gh	NOUN	gh nan dh jha
seq_24	1	nan	NUM	gh nan dh jha
seq_24	2	dh	VERB	gh nan dh jha
seq_25	3	jha	NOUN	gh nan dh jha
seq_25	0	na	NOUN	na nan pa cha
seq_25	1	nan	NUM	na nan pa cha
seq_25	2	pa	NOUN	na nan pa cha
seq_26	3	cha	ADJ	na nan pa cha
seq_26	0	nan	NUM	nan nan nan na
seq_26	1	nan	NUM	nan nan nan na
seq_26	2	nan	NUM	nan nan nan na
seq_27	3	na	NOUN	nan nan nan na
seq_27	0	ga	ADJ	ga ku ku jha
seq_27	1	ku	NOUN	ga ku ku jha
seq_27	2	ku	NOUN	ga ku ku jha
seq_28	3	jha	NOUN	ga ku ku jha
seq_28	0	ja	VERB	ja dh an nan
seq_28	1	dh	VERB	ja dh an nan
seq_28	2	an	ADP	ja dh an nan
seq_29	3	nan	NUM	ja dh an nan
seq_29	0	mu	NOUN	mu re pa cha
seq_29	1	re	VERB	mu re pa cha
seq_29	2	pa	NOUN	mu re pa cha
seq_30	3	cha	ADJ	mu re pa cha
seq_30	0	da	VERB	da sa nan pa
seq_30	1	sa	NOUN	da sa nan pa
seq_30	2	nan	NUM	da sa nan pa
seq_31	3	pa	NOUN	da sa nan pa
seq_31	0	nan	NUM	nan sa pa jha
seq_31	1	sa	NOUN	nan sa pa jha
seq_31	2	pa	NOUN	nan sa pa jha
